,sequence_length,r_error,case_error
0,1,0.20233287034668923,2014.655560409381
1,2,0.193212908333827,1742.3542500089402
2,3,0.3245931383512061,2486.0307953699594
3,4,0.32617032689011854,2605.448642153713
4,5,0.33829663370531804,2688.3221243174203
5,6,0.20120077336765474,1655.8310488618154
6,7,0.18293745487206634,1510.6735783817094
7,8,0.2049546602295734,1601.4924803954966
8,9,0.23607123669674326,1658.1851259524642
9,10,0.24935841404581408,1630.8639389075972
10,11,0.21765276579091147,1619.559799275027
11,12,0.21778412614728215,1458.7257674687394
12,13,0.18792107874253472,1531.2486179711598
13,14,0.20634168348976087,1496.5429748610852
14,15,0.2519879853181376,1621.5913496589342
15,16,0.24875754063121142,1578.6680123110475
16,17,0.24572333743578778,1502.3051900869687
17,18,0.2023588452024679,1621.3885023224598
18,19,0.18599799007273674,1507.3848113256786
19,20,0.19378195714647706,1465.066498880107
